"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1634","Check displaying of dashboard page","LMS system","Tue Jan 13 21:56:15 UTC 2026","passed","Tue Jan 13 21:56:17 UTC 2026","DASHBOARD","DASHBOARD","",""
"","0","test_critical_login","tests.pytest","Tue Jan 13 21:56:14 UTC 2026","passed","Tue Jan 13 21:56:14 UTC 2026","","test_markers","",""
"","2751","test_edit_course[chromium]","LMS system","Tue Jan 13 21:56:12 UTC 2026","passed","Tue Jan 13 21:56:15 UTC 2026","COURSES","COURSES","",""
"","0","test_login","tests.pytest","Tue Jan 13 21:56:14 UTC 2026","passed","Tue Jan 13 21:56:14 UTC 2026","TestUserAuthentication","test_markers","",""
"","0","test_logout","tests.pytest","Tue Jan 13 21:56:14 UTC 2026","passed","Tue Jan 13 21:56:14 UTC 2026","TestUserAuthentication","test_markers","",""
"","1653","Авторизация с невалидной почтой или паролем","LMS system","Tue Jan 13 21:56:06 UTC 2026","passed","Tue Jan 13 21:56:08 UTC 2026","AUTHORIZATION","AUTHENTICATION","",""
"","0","test_regression_case","tests.pytest","Tue Jan 13 21:56:14 UTC 2026","passed","Tue Jan 13 21:56:14 UTC 2026","","test_markers","",""
"","1817","Registration with correct email, username and password","LMS system","Tue Jan 13 21:56:09 UTC 2026","passed","Tue Jan 13 21:56:10 UTC 2026","REGISTRATION","AUTHENTICATION","",""
"","1703","Авторизация с невалидной почтой или паролем","LMS system","Tue Jan 13 21:56:05 UTC 2026","passed","Tue Jan 13 21:56:07 UTC 2026","AUTHORIZATION","AUTHENTICATION","",""
"","1887","Авторизация с невалидной почтой или паролем","LMS system","Tue Jan 13 21:56:03 UTC 2026","passed","Tue Jan 13 21:56:05 UTC 2026","AUTHORIZATION","AUTHENTICATION","",""
"","0","test_password_reset","tests.pytest","Tue Jan 13 21:56:14 UTC 2026","passed","Tue Jan 13 21:56:14 UTC 2026","TestUserAuthentication","test_markers","",""
"","0","test_forgot_password_link","tests.pytest","Tue Jan 13 21:56:14 UTC 2026","passed","Tue Jan 13 21:56:14 UTC 2026","TestUserInterface","test_markers","",""
"","1593","Check displaying of empty courses list","LMS system","Tue Jan 13 21:56:09 UTC 2026","passed","Tue Jan 13 21:56:11 UTC 2026","COURSES","COURSES","",""
"","2997","Успешная авторизация с корректной почтой и паролем","LMS system","Tue Jan 13 21:56:03 UTC 2026","passed","Tue Jan 13 21:56:06 UTC 2026","AUTHORIZATION","AUTHENTICATION","",""
"","2489","Создать курс","LMS system","Tue Jan 13 21:56:11 UTC 2026","passed","Tue Jan 13 21:56:14 UTC 2026","COURSES","COURSES","",""
"","1531","Navigation from login page to registration page","LMS system","Tue Jan 13 21:56:07 UTC 2026","passed","Tue Jan 13 21:56:08 UTC 2026","AUTHORIZATION","AUTHENTICATION","",""
